agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
25,24,2,True,False,False,True,True,False,CBSH-RM-DK,True,1.63354,333,660,310043,484784,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-25.scen,729,29,CBSH-RM,206,0,0,0,70,0,0,0,57,0,,697,0,69,252,12,0,0,2,0,1,0
10,14,8,True,False,True,False,False,False,CBS-DK,False,1.77567,125,249,154321,276721,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-15.scen,373,6,CBS,125,0,125,0,0,0,3,0,0,0,,0,260,0,0,0,125,1,0,0,0,0
25,9,8,True,False,False,False,False,False,CBS-DK,False,90.0047,11657,22095,4255432,8335204,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-10.scen,-1,37,CBS,10571,0,0,0,0,0,0,0,0,1086,,15487,6766,0,0,0,11657,0,195,0,0,0
10,12,2,True,False,True,False,False,False,CBS-DK,False,2.46679,1027,2053,255801,585260,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,303,9,CBS,1027,0,1000,0,0,0,0,0,0,0,,0,2064,0,0,0,1027,1,0,0,0,0
25,17,4,True,False,False,True,True,False,CBSH-RM-DK,True,70.9592,10057,19920,6610070,11034742,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-18.scen,704,44,CBSH-RM,5313,0,0,1090,2558,0,0,0,1096,0,,20139,0,8355,1693,9,0,0,11,0,11,0
5,7,2,True,False,True,False,False,False,CBS-DK,False,0.000858,0,1,116,345,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-8.scen,111,0,CBS,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,1,0,0,0,0
10,23,8,True,False,False,True,True,False,CBSH-RM-DK,True,2.68558,391,777,209117,360244,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,385,19,CBSH-RM,286,0,0,42,52,0,0,0,11,0,,795,0,174,144,73,0,0,15,0,9,0
5,1,8,True,False,True,False,False,False,CBS-DK,False,0.01473,10,21,1033,2130,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,87,4,CBS,10,0,10,0,0,0,0,0,0,0,,0,25,0,0,0,10,1,0,0,0,0
25,10,8,True,False,False,False,False,False,CBS-DK,False,90.0027,13380,25471,3049025,6860823,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-11.scen,-1,34,CBS,12230,0,0,0,0,0,0,0,0,1150,,22090,3545,0,0,0,13380,0,185,0,0,0
20,8,2,True,False,False,True,True,False,CBSH-RM-DK,False,2.9766,1048,2097,283600,645204,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-9.scen,644,22,CBSH-RM,512,0,0,12,523,0,0,0,1,0,,2117,0,345,699,4,0,1,0,0,0,0
5,4,8,True,False,True,False,False,False,CBS-DK,False,0.38252,57,115,72406,128752,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-5.scen,180,4,CBS,57,0,57,0,0,0,0,0,0,0,,0,119,0,0,0,57,1,0,0,0,0
10,20,4,True,False,True,False,False,False,CBS-DK,False,0.895316,14,29,131117,159157,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-21.scen,243,3,CBS,14,0,14,0,0,0,7,0,0,0,,0,38,0,0,0,14,1,0,0,0,0
5,2,2,True,False,True,False,False,False,CBS-DK,False,0.000924,0,1,122,401,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-3.scen,117,0,CBS,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,1,0,0,0,0
30,3,4,True,False,False,False,False,False,CBS-DK,False,90.0027,25588,49256,3125880,8055558,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-4.scen,-1,24,CBS,24065,0,0,0,0,0,0,0,0,1523,,41257,8426,0,0,0,25588,0,107,0,0,0
30,20,8,True,False,False,False,False,False,CBS-DK,False,90.0012,12490,24261,2119004,4865445,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-21.scen,-1,28,CBS,11771,0,0,0,0,0,0,0,0,719,,18702,5589,0,0,0,12490,0,309,0,0,0
10,17,2,True,False,True,False,False,False,CBS-DK,False,0.22753,47,95,37271,65550,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-18.scen,247,6,CBS,47,0,47,0,0,0,0,0,0,0,,0,104,0,0,0,47,1,0,0,0,0
10,11,8,True,False,True,False,False,False,CBS-DK,False,3.77337,438,875,359254,699671,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-12.scen,308,7,CBS,438,0,438,0,0,0,0,0,0,0,,0,886,0,0,0,438,1,0,0,0,0
25,2,4,True,False,False,True,True,False,CBSH-RM-DK,True,90.0044,19681,39322,14332753,22007969,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-3.scen,-1,41,CBSH-RM,1596,0,0,77,535,0,0,0,17473,0,,25305,0,3374,16307,0,0,0,45,0,14,0
5,0,8,True,False,False,True,True,False,CBSH-RM-DK,False,0.003256,0,1,203,626,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-1.scen,189,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,1,0,0,0,0
5,22,4,True,False,True,False,False,False,CBS-DK,False,0.001531,0,1,147,413,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-23.scen,142,0,CBS,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,1,0,0,0,0
10,7,2,True,False,False,True,True,False,CBSH-RM-DK,False,0.00455,4,9,547,1559,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-8.scen,193,3,CBSH-RM,4,0,0,0,0,0,0,0,0,0,,18,0,1,3,0,0,1,0,0,0,0
5,13,8,True,False,True,False,False,False,CBS-DK,False,20.854,1644,3289,2299399,4558125,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-14.scen,222,6,CBS,1644,0,1644,0,0,0,0,0,0,0,,0,3293,0,0,0,1644,1,0,0,0,0
5,15,2,True,False,True,False,False,False,CBS-DK,False,0.000952,0,1,161,519,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-16.scen,156,0,CBS,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,1,0,0,0,0
30,20,8,True,False,False,True,True,False,CBSH-RM-DK,True,90.0051,8276,16214,6970200,10630780,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-21.scen,-1,63,CBSH-RM,2059,0,0,392,5163,0,0,0,662,0,,16654,0,8276,0,0,0,0,344,0,0,0
20,19,2,True,False,False,True,True,False,CBSH-RM-DK,False,53.6813,15627,31255,8867049,15351709,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-20.scen,599,25,CBSH-RM,5993,0,0,1553,3325,0,0,0,4756,0,,31292,0,5504,10107,16,0,1,0,0,0,0
25,1,8,True,False,False,False,False,False,CBS-DK,False,90.0022,17381,33048,2980591,7486828,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,-1,27,CBS,16412,0,0,0,0,0,0,0,0,969,,30983,2835,0,0,0,17381,0,301,0,0,0
25,17,8,True,False,False,True,True,False,CBSH-RM-DK,False,90.0085,10221,20140,7169916,11269017,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-18.scen,-1,46,CBSH-RM,6138,0,0,613,2842,0,0,0,628,0,,20467,0,10171,50,0,0,0,289,0,32,0
15,6,2,True,False,True,False,False,False,CBS-DK,False,0.082255,45,91,7416,19206,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-7.scen,309,5,CBS,45,0,45,0,0,0,3,0,0,0,,0,105,0,0,0,45,1,0,0,0,0
15,0,8,True,False,True,False,False,False,CBS-DK,False,90.0019,17576,35098,5273452,11429417,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-1.scen,-1,12,CBS,17576,0,17576,0,0,0,6,0,0,0,,0,35167,0,0,0,17576,0,100,0,0,0
25,18,8,True,False,False,False,False,False,CBS-DK,False,90.008,12264,22825,3030850,7022185,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-19.scen,-1,32,CBS,11530,0,0,0,0,0,9,0,0,734,,19198,4621,0,0,0,12264,0,274,0,0,0
20,2,8,True,False,True,False,False,False,CBS-DK,False,90.0036,10905,21771,7107533,12074941,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-3.scen,-1,15,CBS,10905,0,10905,0,0,0,1093,0,0,0,,0,21830,0,0,0,10905,0,41,0,0,0
20,1,2,True,False,False,True,True,False,CBSH-RM-DK,False,30.3341,7248,14496,3581957,6480581,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,680,37,CBSH-RM,3699,0,8,344,2512,0,0,0,692,1,,14493,25,2792,4374,81,1,1,0,0,0,0
20,4,2,True,False,True,False,False,False,CBS-DK,False,90.0032,28712,57425,5612698,13234713,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-5.scen,-1,12,CBS,28712,0,28712,0,0,0,105,0,0,0,,0,57444,0,0,0,28712,0,32,0,0,0
10,0,4,True,False,False,True,True,False,CBSH-RM-DK,True,0.050067,7,15,14296,17865,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-1.scen,279,6,CBSH-RM,3,0,0,0,2,0,0,0,2,0,,24,0,3,4,0,0,1,0,0,0,0
5,16,2,True,False,False,False,False,False,CBS-DK,False,0.001013,0,1,136,435,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-17.scen,131,0,CBS,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,1,0,0,0,0
