agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
15,21,4,True,True,False,False,False,False,CBS-DK,False,90.0032,8350,16701,4824124,7407390,,-1,13,CBS,8350,0,0,0,0,0,0,0,0,0,,16715,0,0,0,0,8350,0,56,0,0,0
35,6,8,True,True,False,False,False,False,CBS-DK,False,90.0474,1292,2585,780296,1515401,,-1,17,CBS,1292,0,0,0,0,0,0,0,0,0,,2619,0,0,0,0,1292,0,3056,0,0,0
15,10,8,True,True,False,False,False,False,CBS-DK,False,90.0126,3596,7193,2808929,4487524,,-1,23,CBS,3596,0,0,0,0,0,0,0,0,0,,7207,0,0,0,0,3596,0,334,0,0,0
25,13,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0105,1656,3313,2299740,3157475,,-1,62,CBSH-RM,1283,0,0,82,291,0,0,0,0,0,,3337,0,1656,0,0,0,0,161,0,0,0
40,14,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0139,1616,3233,6046946,7152223,,-1,81,CBSH-RM,0,0,0,437,1179,0,0,0,0,0,,3272,0,1616,0,0,0,0,1074,0,0,0
45,8,8,True,True,False,True,False,False,CBSH-RM-DK,True,90.0711,798,1597,3264362,3823009,,-1,88,CBSH-RM,0,0,0,227,571,0,0,0,0,0,,1641,0,798,0,0,0,0,2161,0,0,0
10,9,4,True,True,False,True,False,False,CBSH-RM-DK,True,0.363288,30,61,19764,30974,,983,10,CBSH-RM,25,0,0,0,5,0,0,0,0,0,,70,0,30,0,0,0,1,0,0,0,0
40,19,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.004,1094,2189,2010588,2721231,,-1,54,CBSH-RM,0,0,0,514,580,0,0,0,0,0,,2228,0,1094,0,0,0,0,1411,0,0,0
10,7,4,True,True,False,True,False,False,CBSH-RM-DK,False,0.210671,12,25,17307,25836,,1250,8,CBSH-RM,12,0,0,0,0,0,0,0,0,0,,34,0,12,0,0,0,1,0,0,0,0
30,19,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0002,3031,6063,2362980,3320429,,-1,46,CBSH-RM,2096,0,0,514,421,0,0,0,0,0,,6092,0,3031,0,0,0,0,237,0,0,0
20,15,4,True,True,False,False,False,False,CBS-DK,False,90.0011,5730,11461,2046671,3814345,,-1,22,CBS,5730,0,0,0,0,0,0,0,0,0,,11480,0,0,0,0,5730,0,313,0,0,0
20,24,8,True,True,False,False,False,False,CBS-DK,False,90.0112,2940,5881,1853995,3151446,,-1,16,CBS,2940,0,0,0,0,0,0,0,0,0,,5900,0,0,0,0,2940,0,502,0,0,0
10,19,4,True,True,False,True,False,False,CBSH-RM-DK,True,0.157876,12,25,12667,19313,,1446,6,CBSH-RM,7,0,0,3,2,0,0,0,0,0,,34,0,12,0,0,0,1,0,0,0,0
30,11,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0124,2200,4401,7094323,8466568,,-1,82,CBSH-RM,0,0,0,203,1997,0,0,0,0,0,,4430,0,2200,0,0,0,0,225,0,0,0
30,7,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0019,1876,3753,2699024,3932672,,-1,71,CBSH-RM,1672,0,0,19,185,0,0,0,0,0,,3782,0,1876,0,0,0,0,174,0,0,0
25,5,4,True,True,False,True,False,False,CBSH-RM-DK,True,90.0294,518,1037,2728742,3065819,,-1,144,CBSH-RM,79,0,0,64,375,0,0,0,0,0,,1061,0,518,0,0,0,0,540,0,0,0
15,15,4,True,True,False,True,False,False,CBSH-RM-DK,False,90.0205,919,1839,1595388,2180112,,-1,43,CBSH-RM,770,0,0,1,148,0,0,0,0,0,,1853,0,919,0,0,0,0,112,0,0,0
30,12,4,True,True,False,False,False,False,CBS-DK,False,90.0127,4560,8937,1813649,3591194,,-1,17,CBS,4560,0,0,0,0,0,0,0,0,0,,8966,0,0,0,0,4560,0,349,0,0,0
10,1,4,True,True,False,False,False,False,CBS-DK,False,90.0077,9721,19443,5441451,9497692,,-1,7,CBS,9721,0,0,0,0,0,0,0,0,0,,19452,0,0,0,0,9721,0,338,0,0,0
15,18,8,True,True,False,True,False,False,CBSH-RM-DK,False,90.0402,1001,2003,2315890,2784071,,-1,80,CBSH-RM,876,0,0,29,96,0,0,0,0,0,,2017,0,1001,0,0,0,0,169,0,0,0
