Rect_square_len,k,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,idea_cost,algorithm
2,0,5,3,7,46,165,./agent/0obs-20x20map-2agents-2.agents,9,1,CBSH

2,1,11,5,11,90,297,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,2,13,5,11,130,367,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,3,13,5,11,130,365,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,4,12,5,11,130,358,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,5,13,5,11,130,358,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,6,23,5,11,130,358,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

2,7,13,5,11,130,358,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH

3,0,34,13,27,278,1007,./agent/0obs-20x20map-2agents-3.agents,13,1,CBSH

3,1,61,19,39,507,1626,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,2,72,19,39,724,2033,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,3,92,19,39,731,2027,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,4,122,19,39,731,1995,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,5,140,19,39,731,1995,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,6,161,19,39,731,1995,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

3,7,110,19,39,731,1995,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH

4,0,453,57,115,1733,6285,./agent/0obs-20x20map-2agents-4.agents,17,1,CBSH

4,1,696,79,159,3072,9618,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,2,771,79,159,4414,12256,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,3,889,80,161,4468,12283,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,4,780,80,161,4468,12100,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,5,889,80,161,4468,12100,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,6,807,80,161,4468,12100,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

4,7,892,80,161,4468,12100,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH

5,0,2009,220,441,9080,33076,./agent/0obs-20x20map-2agents-5.agents,21,1,CBSH

5,1,2965,295,591,15837,48819,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH

5,2,4118,321,643,24748,67912,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH

5,3,3432,306,613,23472,64081,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH

5,4,3926,306,613,23472,63202,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH

5,5,4213,306,613,23472,63202,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH

5,6,4223,306,613,23472,63202,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH

5,7,4330,306,613,23472,63202,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH

6,0,9496,969,1939,52673,191118,./agent/0obs-20x20map-2agents-6.agents,25,1,CBSH

6,1,15387,1422,2845,101785,308174,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH

6,2,17164,1317,2635,135684,366868,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH

6,3,15811,1257,2515,129845,347735,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH

6,4,16849,1257,2515,129845,343464,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH

6,5,22181,1257,2515,129845,343464,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH

6,6,18649,1257,2515,129845,343464,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH

6,7,19322,1257,2515,129845,343464,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH

7,0,64196,6700,13401,457911,1657767,./agent/0obs-20x20map-2agents-7.agents,29,1,CBSH

7,1,93084,8081,16163,733865,2197076,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH

7,2,107753,6930,13861,905947,2414262,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH

7,3,114690,7784,15569,1016061,2686390,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH

7,4,117352,7784,15569,1016061,2652988,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH

7,5,131080,7784,15569,1016061,2652988,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH

7,6,130517,7784,15569,1016061,2652988,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH

7,7,141904,7784,15569,1016061,2652988,./agent/0obs-20x20map-2agents-7.agents,30,2,CBSH

