agents_No,instance,k,shrink,ignore-target,lltp-only,corridor,target,parking,algo,ignore-train,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,cost-dummy,algorithm,standard_conflict,standard_conflict_m2,standard_train_conflict,rectangle_sym,corridor_sym,parking_std,target_std,parking_sym,target_sym,train_self_conflict,None,num_llpp,num_lltp,num_cardinal,num_semicardinal,num_noncardinal,num_unkown,valid_train,num_body_conflict,num_target_conflict,num_self_conflict,runtime_mdd
8,2,10,False,False,False,True,True,True,CBSH-RM-DK,False,0.123236,8,17,6144,12062,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-3.scen,168,4,CBSH-RM,2,0,0,0,1,0,0,4,1,0,,20,4,3,5,0,0,1,0,0,0,0
8,6,14,False,False,False,True,True,False,CBSH-RM-DK,False,90.1923,714,1429,1194550,2153357,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-7.scen,-1,16,CBSH-RM,467,0,171,67,177,161,0,0,3,0,,998,438,270,315,129,0,0,14,0,14,36
10,12,16,False,False,False,True,True,False,CBSH-RM-DK,False,1377.69,689,1338,1029353,1423983,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,-1,34,CBSH-RM,284,0,0,51,303,0,0,0,51,0,,1396,0,549,140,0,0,0,216,0,0,1344
6,22,14,False,False,False,True,True,True,CBSH-RM-DK,False,90.0547,3271,6542,2102514,3543484,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-23.scen,-1,21,CBSH-RM,2211,0,0,483,570,0,0,0,7,0,,6548,0,495,1690,1086,0,0,34,0,14,22
8,1,12,False,False,False,True,True,True,CBSH-RM-DK,False,151.164,49,94,328179,460786,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,-1,24,CBSH-RM,31,0,0,9,5,0,0,3,1,0,,104,3,30,16,3,0,0,17,0,0,141
8,18,6,False,False,False,True,True,False,CBSH-RM-DK,False,90.0082,851,1700,8346512,11188598,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-19.scen,-1,14,CBSH-RM,811,0,803,15,0,800,0,0,25,0,,47,1663,258,590,3,0,0,7,0,6,0
6,2,4,False,False,False,True,True,False,CBSH-RM-DK,False,0.001767,0,1,129,394,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-3.scen,123,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,1,0,0,0,0
10,14,16,False,False,False,True,True,True,CBSH-RM-DK,False,111.946,1535,3051,1115400,1851380,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-15.scen,-1,21,CBSH-RM,527,0,0,302,643,0,0,0,63,0,,3080,0,450,1021,64,0,0,13,0,0,63
8,1,8,False,False,False,True,True,True,CBSH-RM-DK,False,90.1773,51,90,4128774,4354316,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,-1,19,CBSH-RM,22,0,0,8,7,0,0,13,1,0,,86,25,32,10,9,0,1,0,0,0,0
10,0,4,False,False,False,True,True,False,CBSH-RM-DK,False,71.8409,5799,11599,8061077,13139508,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-1.scen,273,20,CBSH-RM,5267,0,2050,193,268,1971,0,0,71,0,,4930,6678,2053,2535,1211,0,1,0,0,0,0
10,15,8,False,False,False,True,True,False,CBSH-RM-DK,False,90.0262,3403,6807,3379093,5782644,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-16.scen,-1,11,CBSH-RM,2632,0,206,258,470,201,0,0,43,0,,6230,586,625,1941,837,0,0,15,0,7,0
8,23,12,False,False,False,True,True,True,CBSH-RM-DK,False,90.0143,4802,9350,3514664,5634271,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,-1,35,CBSH-RM,3301,0,0,494,818,0,0,0,189,0,,9612,0,1840,2569,393,0,0,196,0,30,2
10,24,4,False,False,False,True,True,False,CBSH-RM-DK,False,90.0102,7599,15132,8245469,15061466,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-25.scen,-1,18,CBSH-RM,6150,0,2534,410,896,2533,0,0,143,0,,5528,9680,2548,2836,2215,0,1,0,0,0,0
6,24,8,False,False,False,True,True,True,CBSH-RM-DK,False,0.010419,1,3,396,1231,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-25.scen,152,0,CBSH-RM,0,0,0,0,1,0,0,0,0,0,,8,0,0,1,0,0,1,0,0,0,0
8,18,10,False,False,False,True,True,False,CBSH-RM-DK,False,90.0024,675,1330,4217251,7492050,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-19.scen,-1,18,CBSH-RM,517,0,341,77,18,337,0,0,63,0,,363,995,255,283,137,0,0,1,0,0,0
6,8,4,False,False,False,True,True,False,CBSH-RM-DK,False,0.088163,12,25,6573,11464,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-9.scen,201,12,CBSH-RM,5,0,1,0,7,1,0,0,0,0,,28,2,6,6,0,0,1,0,0,0,0
8,12,6,False,False,False,True,True,False,CBSH-RM-DK,False,90.0053,4012,7827,8683037,13426757,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,-1,21,CBSH-RM,3961,0,2740,26,17,591,0,0,8,0,,2311,5721,2157,1126,729,0,0,3,0,0,0
6,20,8,False,False,False,True,True,False,CBSH-RM-DK,False,0.534179,15,31,16587,25290,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-21.scen,188,8,CBSH-RM,6,0,0,1,6,0,0,0,2,0,,36,0,9,6,0,0,1,0,0,0,0
10,2,10,False,False,False,True,True,False,CBSH-RM-DK,False,90.038,592,1184,4620279,7437358,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-3.scen,-1,13,CBSH-RM,411,0,269,11,154,269,0,0,16,0,,562,633,318,191,83,0,0,69,0,0,0
6,11,4,False,False,False,True,True,False,CBSH-RM-DK,False,0.011471,2,4,327,1157,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-12.scen,152,2,CBSH-RM,2,0,0,0,0,0,0,0,0,0,,10,0,1,0,1,0,1,0,0,0,0
8,8,10,False,False,False,True,True,True,CBSH-RM-DK,False,90.078,1925,3851,2006367,3117649,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-9.scen,-1,33,CBSH-RM,1200,0,0,81,644,0,0,0,0,0,,3858,0,644,1280,1,0,0,344,0,86,20
6,9,10,False,False,False,True,True,False,CBSH-RM-DK,False,0.002119,0,1,138,461,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-10.scen,120,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,1,0,0,0,0
6,19,6,False,False,False,True,True,True,CBSH-RM-DK,False,0.017676,8,15,1003,2191,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-20.scen,108,15,CBSH-RM,5,0,0,0,2,0,0,0,1,0,,22,0,5,3,0,0,1,0,0,0,0
10,15,6,False,False,False,True,True,True,CBSH-RM-DK,False,90.0004,5917,11673,5532278,9412091,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-16.scen,-1,10,CBSH-RM,3908,0,0,196,882,0,0,747,184,0,,10411,1482,1293,3613,1011,0,0,12,0,0,0
10,4,14,False,False,False,True,True,False,CBSH-RM-DK,False,90.0198,1254,2489,1323885,1898920,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-5.scen,-1,36,CBSH-RM,613,0,0,174,301,0,0,0,166,0,,2519,0,952,301,1,0,0,231,0,0,28
8,20,10,False,False,False,True,True,True,CBSH-RM-DK,False,57.4945,410,810,1039278,1422180,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-21.scen,216,29,CBSH-RM,227,0,2,13,33,0,0,54,82,1,,756,71,164,224,21,1,1,0,0,0,21
8,10,10,False,False,False,True,True,False,CBSH-RM-DK,False,0.505067,49,96,18990,34483,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-11.scen,141,15,CBSH-RM,31,0,4,6,12,4,0,0,0,0,,96,10,27,20,2,0,1,0,0,0,0
8,6,6,False,False,False,True,True,True,CBSH-RM-DK,False,0.120758,26,53,7684,15146,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-7.scen,147,9,CBSH-RM,8,0,0,4,3,0,0,9,2,0,,51,9,15,11,0,0,1,0,0,0,0
10,21,8,False,False,False,True,True,True,CBSH-RM-DK,False,0.139612,11,23,6538,12872,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-22.scen,239,11,CBSH-RM,4,0,0,1,3,0,0,3,0,0,,29,3,6,4,1,0,1,0,0,0,0
6,20,4,False,False,False,True,True,True,CBSH-RM-DK,False,0.050226,6,12,4785,7988,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-21.scen,184,4,CBSH-RM,2,0,0,0,2,0,0,1,1,0,,17,1,3,3,0,0,1,0,0,0,0
6,14,4,False,False,False,True,True,False,CBSH-RM-DK,False,0.068302,14,29,7447,15702,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-15.scen,210,6,CBSH-RM,10,0,7,0,2,7,0,0,2,0,,17,17,9,4,1,0,1,0,0,0,0
8,21,12,False,False,False,True,True,False,CBSH-RM-DK,False,0.119574,8,17,3258,6067,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-22.scen,176,4,CBSH-RM,6,0,0,1,1,0,0,0,0,0,,24,0,4,4,0,0,1,0,0,0,0
8,16,14,False,False,False,True,True,False,CBSH-RM-DK,False,90.0793,2580,5145,2439617,3948135,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-17.scen,-1,32,CBSH-RM,1844,0,107,264,393,18,0,0,79,0,,4925,243,545,1468,567,0,0,215,0,202,0
8,17,6,False,False,False,True,True,False,CBSH-RM-DK,False,90.0923,3577,7145,4383558,6701162,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-18.scen,-1,22,CBSH-RM,2829,0,691,408,314,619,0,0,26,0,,5310,1852,1265,1677,635,0,0,8,0,5,0
6,10,6,False,False,False,True,True,True,CBSH-RM-DK,False,0.092762,20,41,3657,8154,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-11.scen,119,11,CBSH-RM,10,0,0,5,2,0,0,3,0,0,,43,3,12,8,0,0,1,0,0,0,0
6,12,16,False,False,False,True,True,False,CBSH-RM-DK,False,2547.62,386,751,683172,981065,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,-1,27,CBSH-RM,242,0,0,72,72,0,0,0,0,0,,778,0,151,226,9,0,0,9,0,0,2513
6,7,14,False,False,False,True,True,False,CBSH-RM-DK,False,113.592,10,19,532736,904489,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-8.scen,-1,10,CBSH-RM,10,0,10,0,0,10,0,0,0,0,,6,20,9,1,0,0,1,0,0,0,101
10,21,4,False,False,False,True,True,False,CBSH-RM-DK,False,0.089422,11,23,8715,16682,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-22.scen,235,7,CBSH-RM,7,0,6,0,4,6,0,0,0,0,,18,14,8,3,0,0,1,0,0,0,0
6,23,14,False,False,False,True,True,False,CBSH-RM-DK,False,90.121,150,299,3728984,6198357,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,-1,22,CBSH-RM,106,0,68,8,22,68,0,0,14,0,,146,160,52,96,2,0,0,14,0,14,3
10,10,8,False,False,False,True,True,False,CBSH-RM-DK,False,33.2542,1711,3395,1842132,2935724,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-11.scen,209,27,CBSH-RM,1204,0,711,178,186,671,0,0,143,0,,1892,1540,1107,518,86,0,1,0,0,0,0
6,1,10,False,False,False,True,True,False,CBSH-RM-DK,False,0.005922,1,3,264,606,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,99,4,CBSH-RM,1,0,0,0,0,0,0,0,0,0,,8,0,1,0,0,0,1,0,0,0,0
6,14,12,False,False,False,True,True,False,CBSH-RM-DK,False,0.744807,56,113,34812,58912,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-15.scen,216,12,CBSH-RM,37,0,1,3,13,0,0,0,3,0,,116,2,20,30,6,0,1,0,0,0,0
10,5,4,False,False,False,True,True,False,CBSH-RM-DK,False,90.0186,6778,13538,7530113,12387835,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-6.scen,-1,32,CBSH-RM,5539,0,3298,212,862,162,0,0,165,0,,8391,5175,4053,2020,705,0,0,5,0,0,0
8,1,8,False,False,False,True,True,False,CBSH-RM-DK,False,90.0992,143,284,5608801,7904347,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-2.scen,-1,20,CBSH-RM,114,0,69,16,12,63,0,0,1,0,,101,194,99,19,25,0,1,0,0,0,1
8,18,4,False,False,False,True,True,False,CBSH-RM-DK,False,1.4055,69,139,201092,286819,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-19.scen,253,10,CBSH-RM,67,0,65,0,0,65,0,0,2,0,,14,132,35,34,0,0,1,0,0,0,0
8,22,16,False,False,False,True,True,True,CBSH-RM-DK,False,90.0183,2509,5019,1788906,2953870,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-23.scen,-1,27,CBSH-RM,1299,0,0,429,775,0,0,0,6,0,,5026,0,311,1518,680,0,0,78,0,42,6
6,2,6,False,False,False,True,True,False,CBSH-RM-DK,False,0.00203,0,1,129,394,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-3.scen,123,0,CBSH-RM,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0,0,1,0,0,0,0
8,6,16,False,False,False,True,True,False,CBSH-RM-DK,False,90.3596,660,1321,586053,851404,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-7.scen,-1,18,CBSH-RM,318,0,8,78,259,8,0,0,5,0,,1312,16,235,333,92,0,0,6,0,0,67
8,21,14,False,False,False,True,True,True,CBSH-RM-DK,False,0.473482,19,38,10502,20233,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-22.scen,180,8,CBSH-RM,9,0,0,3,3,0,0,4,0,0,,41,5,7,10,2,0,1,0,0,0,0
10,12,14,False,False,False,True,True,False,CBSH-RM-DK,False,130.178,726,1414,1039867,1459246,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-13.scen,-1,37,CBSH-RM,288,0,0,68,312,0,0,0,58,0,,1479,0,522,204,0,0,0,158,0,40,101
8,9,14,False,False,False,True,True,True,CBSH-RM-DK,False,219.599,5,10,177725,229339,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-10.scen,-1,17,CBSH-RM,2,0,0,0,0,0,0,2,1,0,,16,2,5,0,0,0,1,0,0,0,213
10,23,16,False,False,False,True,True,False,CBSH-RM-DK,False,90.0169,1899,3702,1586851,2472887,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-24.scen,-1,35,CBSH-RM,980,0,0,281,538,0,0,0,100,0,,3808,0,1024,875,0,0,0,354,0,23,12
10,8,6,False,False,False,True,True,True,CBSH-RM-DK,False,90.0009,4389,8778,3902957,6272430,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-9.scen,-1,33,CBSH-RM,2487,0,0,344,1558,0,0,0,0,0,,8788,0,1396,2698,295,0,0,99,0,18,0
10,14,10,False,False,False,True,True,False,CBSH-RM-DK,False,90.4142,1391,2782,5957614,9109517,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-15.scen,-1,18,CBSH-RM,880,0,153,66,311,123,0,0,134,0,,1903,889,392,695,304,0,0,9,0,9,0
8,0,12,False,False,False,True,True,False,CBSH-RM-DK,False,90.0662,882,1765,1030812,1556529,/home/ubuntu/mike/CBS-exp/agent/room-32-32-4-even/room-32-32-4-even-1.scen,-1,24,CBSH-RM,508,0,0,124,236,0,0,0,14,0,,1772,0,307,446,129,0,0,85,0,0,47
